Variable,Year,Value,RSE,Industry
Sorghum area sown (ha),1993,3,33,Beef
Sorghum produced (t),1993,2,38,Beef
Sorghum receipts ($),1993,1580,31,Beef
Steers and other beef cattle at 30 June (no.),1993,152,7,Beef
Stores and rations ($),1993,1230,12,Beef
Telephone ($),1993,2610,4,Beef
Total area cropped (ha),1993,58,15,Beef
Total area irrigated (ha),1993,8,24,Beef
Total cash costs ($),1993,256650,6,Beef
Total cash receipts ($),1993,308920,5,Beef
Total closing capital ($),1993,2533290,4,Beef
Total crop gross receipts ($),1993,16020,21,Beef
Total family income ($),1993,50860,12,Beef
Total freight ($),1993,10840,9,Beef
Total labor used (weeks),1993,94,3,Beef
Total non farm income ($),1993,40420,15,Beef
Total off farm wages ($),1993,20090,28,Beef
Total wool sold (kg),1993,338,26,Beef
Value of land and fixed improvements ($),1993,1964850,5,Beef
Vet fees ($),1993,390,21,Beef
Wages for hired labor ($),1993,14600,11,Beef
Water charges ($),1993,870,23,Beef
Wethers at 30 June (no.),1993,23,39,Beef
Wheat area sown (ha),1993,10,62,Beef
Wheat produced (t),1993,9,63,Beef
Wheat receipts ($),1993,3610,61,Beef
Wheat sold (t),1993,8,65,Beef
Wool cut per head (kg),1993,4.6,6,Beef
Wool produced (kg),1993,396,23,Beef
Wool receipts ($),1993,2120,28,Beef
AI stud fees and herd testing ($),1993,60,45,Cropping
Accounting services ($),1993,3930,6,Cropping
Advisory services ($),1993,2050,39,Cropping
Age of owner manager (yrs),1993,50,2,Cropping
Age of spouse (yrs),1993,47,2,Cropping
Agistment ($),1993,200,52,Cropping
Area operated at 30 June (ha),1993,1613,4,Cropping
Barley area sown (ha),1993,109,6,Cropping
Barley produced (t),1993,238,7,Cropping
Barley receipts ($),1993,71780,8,Cropping
Beef bulls at 30 June (no.),1993,1,29,Cropping
Beef calves at 30 June (no.),1993,10,23,Cropping
Beef cattle purchased ($),1993,4370,29,Cropping
Beef cattle purchased (no.),1993,7,29,Cropping
Beef cattle receipts ($),1993,16250,23,Cropping
Beef cattle sold (no.),1993,16,23,Cropping
Beef cattle transferred off farm (no.),1993,0,,Cropping
Beef cattle transferred onto farm (no.),1993,0,69,Cropping
Beef cows at 30 June (no.),1993,14,20,Cropping
Beef heifers at 30 June (no.),1993,4,26,Cropping
Beef herd at 30 June (no.),1993,39,19,Cropping
Branding rate (%),1993,87.9,2,Cropping
Buildup in trading stocks ($),1993,-6140,63,Cropping
Canola area sown (ha),1993,3,35,Cropping
Canola produced (t),1993,6,38,Cropping
Canola receipts ($),1993,3610,38,Cropping
Capital appreciation ($),1993,36700,36,Cropping
Capital at 1 July ($),1993,2158690,4,Cropping
Change in farm debt ($),1993,12830,93,Cropping
Contracts - cropping ($),1993,17320,21,Cropping
Contracts - livestock ($),1993,110,34,Cropping
Cotton receipts ($),1993,18740,69,Cropping
Crop and pasture chemicals ($),1993,49790,8,Cropping
Dairy cattle at June 30 (no.),1993,1,74,Cropping
Depreciation ($),1993,61450,5,Cropping
Electricity ($),1993,4790,13,Cropping
Equity ratio at 30 June (%),1993,80,2,Cropping
Ewes at 30 June (no.),1993,565,7,Cropping
Family share of farm income ($),1993,54460,14,Cropping
Farm business debt at 30 June ($),1993,440120,9,Cropping
Farm business equity June 30 ($),1993,1711370,5,Cropping
Farm business profit ($),1993,31110,34,Cropping
Farm cash income ($),1993,179580,6,Cropping
Farm liquid assets at 30 June ($),1993,146320,14,Cropping
Fertiliser ($),1993,55730,6,Cropping
Field peas area sown (ha),1993,26,14,Cropping
Field peas produced (t),1993,34,16,Cropping
Field peas receipts ($),1993,14070,16,Cropping
Fodder ($),1993,4400,21,Cropping
Fuel oil and grease ($),1993,50880,6,Cropping
Grain legumes area sown (ha),1993,116,8,Cropping
Grain legumes produced (t),1993,137,8,Cropping
Grain legumes receipts ($),1993,53190,8,Cropping
Handling and marketing ($),1993,40900,4,Cropping
Hours worked on farm - total (hrsperwk),1993,,,Cropping
Hours worked on farm by owner manager (hrsperwk),1993,,,Cropping
Hours worked on farm by spouse (hrsperwk),1993,,,Cropping
Imputed labor cost ($),1993,80890,3,Cropping
Insurance ($),1993,10010,5,Cropping
Interest paid ($),1993,43440,9,Cropping
Lambs at 30 June (no.),1993,273,10,Cropping
Land rent ($),1993,4470,19,Cropping
Leasing charges ($),1993,8180,16,Cropping
Livestock materials ($),1993,3200,8,Cropping
Livestock transfers - inwards ($),1993,30,60,Cropping
Livestock transfers - outward ($),1993,120,61,Cropping
Lupins area sown (ha),1993,67,12,Cropping
Lupins produced (t),1993,75,12,Cropping
Lupins receipts ($),1993,24930,13,Cropping
Net capital additions ($),1993,71340,22,Cropping
Oats area sown (ha),1993,20,15,Cropping
Oats produced (t),1993,24,17,Cropping
Oats receipts ($),1993,2910,21,Cropping
Off farm contracts ($),1993,14800,32,Cropping
Off farm sharefarming ($),1993,18750,40,Cropping
Off-farm work for owner manager (hrsperwk),1993,1,45,Cropping
Off-farm work for spouse (hrsperwk),1993,7,14,Cropping
Oilseeds area sown (ha),1993,16,17,Cropping
Oilseeds produced (t),1993,21,19,Cropping
Oilseeds receipts ($),1993,15070,19,Cropping
Other administration expenses ($),1993,7770,21,Cropping
Other farm income ($),1993,29410,10,Cropping
Other livestock purchased ($),1993,1260,30,Cropping
Other livestock receipts ($),1993,9960,22,Cropping
Other materials ($),1993,3140,16,Cropping
Other services ($),1993,11640,10,Cropping
Payments to sharefarmers ($),1993,5180,32,Cropping
Population,1993,10672,,Cropping
Produce purchased for resale ($),1993,250,75,Cropping
Profit at full equity ($),1993,82370,12,Cropping
Profit at full equity including capital appreciation ($),1993,119070,15,Cropping
Rams at 30 June (no.),1993,13,27,Cropping
Rate of return ex. capital appreciation (%),1993,3.8,13,Cropping
Rate of return inc. capital appreciation (%),1993,5.5,14,Cropping
Repairs and maintenance ($),1993,53020,5,Cropping
Rice area sown (ha),1993,6,22,Cropping
Sample Contributing,1993,263,,Cropping
Seed ($),1993,8830,10,Cropping
Shearing crutching ($),1993,6870,8,Cropping
Sheep and lambs shorn (no.),1993,1270,6,Cropping
Sheep flock at 30 June (no.),1993,1191,6,Cropping
Sheep purchased ($),1993,6740,14,Cropping
Sheep purchased (no.),1993,171,19,Cropping
Sheep receipts ($),1993,18650,9,Cropping
Sheep sold (no.),1993,459,8,Cropping
Shire and PPB rates ($),1993,10470,5,Cropping
Sorghum area sown (ha),1993,22,15,Cropping
Sorghum produced (t),1993,42,19,Cropping
Sorghum receipts ($),1993,23350,23,Cropping
Steers and other beef cattle at 30 June (no.),1993,10,21,Cropping
Stores and rations ($),1993,110,41,Cropping
Telephone ($),1993,3480,5,Cropping
Total area cropped (ha),1993,793,3,Cropping
Total area irrigated (ha),1993,29,21,Cropping
Total cash costs ($),1993,479910,5,Cropping
Total cash receipts ($),1993,659490,4,Cropping
Total closing capital ($),1993,2184470,4,Cropping
Total crop gross receipts ($),1993,514560,4,Cropping
Total family income ($),1993,95780,9,Cropping
Total freight ($),1993,37070,5,Cropping
Total labor used (weeks),1993,120,3,Cropping
Total non farm income ($),1993,32250,12,Cropping
Total off farm wages ($),1993,13900,21,Cropping
Total wool sold (kg),1993,5675,6,Cropping
Value of land and fixed improvements ($),1993,1776640,5,Cropping
Vet fees ($),1993,120,30,Cropping
Wages for hired labor ($),1993,14680,12,Cropping
Water charges ($),1993,5440,17,Cropping
Wethers at 30 June (no.),1993,340,10,Cropping
Wheat area sown (ha),1993,468,4,Cropping
Wheat produced (t),1993,880,4,Cropping
Wheat receipts ($),1993,280470,4,Cropping
Wheat sold (t),1993,842,4,Cropping
Wool cut per head (kg),1993,4.7,2,Cropping
Wool produced (kg),1993,6029,6,Cropping
Wool receipts ($),1993,36990,6,Cropping
AI stud fees and herd testing ($),1993,5400,8,Dairy
Accounting services ($),1993,1940,6,Dairy
Advisory services ($),1993,170,41,Dairy
Age of owner manager (yrs),1993,51,2,Dairy
Age of spouse (yrs),1993,48,2,Dairy
Agistment ($),1993,3010,16,Dairy
Area operated at 30 June (ha),1993,182,4,Dairy
Beef cattle purchased ($),1993,3810,40,Dairy
Beef cattle receipts ($),1993,16140,18,Dairy
Beef cattle sold (no.),1993,16,18,Dairy
Beef herd at 30 June (no.),1993,37,14,Dairy
Buildup in trading stocks ($),1993,16560,18,Dairy
Capital appreciation ($),1993,140520,24,Dairy
Capital at 1 July ($),1993,1974130,5,Dairy
Change in farm debt ($),1993,37260,32,Dairy
Contracts - cropping ($),1993,3790,16,Dairy
Contracts - livestock ($),1993,70,54,Dairy
Crop and pasture chemicals ($),1993,1130,12,Dairy
Dairy cattle at June 30 (no.),1993,187,2,Dairy
Dairy cattle purchased ($),1993,8960,22,Dairy
Dairy cattle purchased (no.),1993,7,20,Dairy
Dairy cattle sold ($),1993,25580,4,Dairy
Dairy cattle sold (no.),1993,88,3,Dairy
Dairy cows at 30 June (no.),1993,122,2,Dairy
Dairy cows mated (no.),1993,124,3,Dairy
Dairy supplies ($),1993,6050,13,Dairy
Depreciation ($),1993,29970,4,Dairy
Electricity ($),1993,9000,4,Dairy
Equity ratio at 30 June (%),1993,88,1,Dairy
Family share of farm income ($),1993,76220,6,Dairy
Farm business debt at 30 June ($),1993,261990,8,Dairy
Farm business equity June 30 ($),1993,1869990,7,Dairy
Farm business profit ($),1993,21530,23,Dairy
Farm cash income ($),1993,116840,4,Dairy
Farm liquid assets at 30 June ($),1993,40750,14,Dairy
Fertiliser ($),1993,15700,6,Dairy
Fodder ($),1993,45220,6,Dairy
Fuel oil and grease ($),1993,11350,4,Dairy
Handling and marketing ($),1993,27000,3,Dairy
Hours worked on farm - total (hrsperwk),1993,,,Dairy
Hours worked on farm by owner manager (hrsperwk),1993,,,Dairy
Hours worked on farm by spouse (hrsperwk),1993,,,Dairy
Imputed labor cost ($),1993,81920,2,Dairy
Insurance ($),1993,3880,4,Dairy
Interest paid ($),1993,27470,9,Dairy
Land rent ($),1993,5960,16,Dairy
Leasing charges ($),1993,2070,18,Dairy
Livestock materials ($),1993,6030,7,Dairy
Livestock transfers - inwards ($),1993,920,83,Dairy
Livestock transfers - outward ($),1993,1970,51,Dairy
Manufacturing milk (ltrs),1993,367354,4,Dairy
Market milk (ltrs),1993,123700,4,Dairy
Milk produced (ltrs),1993,491054,3,Dairy
Milk produced (ltrs),1993,367354,4,Dairy
Milk receipts excluding freight ($),1993,326850,3,Dairy
Milk receipts excluding freight ($),1993,326850,3,Dairy
Net capital additions ($),1993,70700,18,Dairy
Off farm contracts ($),1993,2010,28,Dairy
Off farm sharefarming ($),1993,250,64,Dairy
Off-farm work for owner manager (hrsperwk),1993,0,45,Dairy
Off-farm work for spouse (hrsperwk),1993,4,24,Dairy
Other administration expenses ($),1993,4230,8,Dairy
Other farm income ($),1993,6460,10,Dairy
Other livestock purchased ($),1993,350,37,Dairy
Other livestock receipts ($),1993,1740,35,Dairy
Other materials ($),1993,2500,8,Dairy
Other services ($),1993,6640,7,Dairy
Payments to sharefarmers ($),1993,10470,25,Dairy
Population,1993,13607,,Dairy
Produce purchased for resale ($),1993,20,90,Dairy
Profit at full equity ($),1993,55610,9,Dairy
Profit at full equity including capital appreciation ($),1993,196130,17,Dairy
Rate of return ex. capital appreciation (%),1993,2.6,10,Dairy
Rate of return inc. capital appreciation (%),1993,9,12,Dairy
Repairs and maintenance ($),1993,27940,6,Dairy
Sample Contributing,1993,307,,Dairy
Seed ($),1993,2130,10,Dairy
Shearing crutching ($),1993,70,37,Dairy
Shire and PPB rates ($),1993,5750,5,Dairy
Stores and rations ($),1993,30,81,Dairy
Telephone ($),1993,1860,4,Dairy
Total area cropped (ha),1993,37,5,Dairy
Total area irrigated (ha),1993,26,8,Dairy
Total cash costs ($),1993,267340,4,Dairy
Total cash receipts ($),1993,384190,3,Dairy
Total closing capital ($),1993,2167770,6,Dairy
Total crop gross receipts ($),1993,3180,24,Dairy
Total family income ($),1993,98890,5,Dairy
Total freight ($),1993,1860,11,Dairy
Total labor used (weeks),1993,119,2,Dairy
Total non farm income ($),1993,17990,14,Dairy
Total off farm wages ($),1993,7750,22,Dairy
Value of land and fixed improvements ($),1993,1736800,7,Dairy
Vet fees ($),1993,1220,16,Dairy
Wages for hired labor ($),1993,9130,16,Dairy
Water charges ($),1993,4220,9,Dairy
AI stud fees and herd testing ($),1993,360,38,Mixed
Accounting services ($),1993,3140,5,Mixed
Advisory services ($),1993,760,22,Mixed
Age of owner manager (yrs),1993,52,2,Mixed
Age of spouse (yrs),1993,48,2,Mixed
Agistment ($),1993,830,22,Mixed
Area operated at 30 June (ha),1993,1367,5,Mixed
Barley area sown (ha),1993,71,7,Mixed
Barley produced (t),1993,135,8,Mixed
Barley receipts ($),1993,39970,8,Mixed
Beef bulls at 30 June (no.),1993,3,25,Mixed
Beef calves at 30 June (no.),1993,26,11,Mixed
Beef cattle purchased ($),1993,14560,19,Mixed
Beef cattle purchased (no.),1993,21,18,Mixed
Beef cattle receipts ($),1993,55570,12,Mixed
Beef cattle sold (no.),1993,53,10,Mixed
Beef cattle transferred off farm (no.),1993,0,63,Mixed
Beef cattle transferred onto farm (no.),1993,1,89,Mixed
Beef cows at 30 June (no.),1993,40,9,Mixed
Beef heifers at 30 June (no.),1993,9,14,Mixed
Beef herd at 30 June (no.),1993,100,9,Mixed
Branding rate (%),1993,84.4,2,Mixed
Buildup in trading stocks ($),1993,4610,69,Mixed
Canola area sown (ha),1993,3,27,Mixed
Canola produced (t),1993,7,28,Mixed
Canola receipts ($),1993,4030,27,Mixed
Capital appreciation ($),1993,19340,47,Mixed
Capital at 1 July ($),1993,1974370,4,Mixed
Change in farm debt ($),1993,14820,48,Mixed
Contracts - cropping ($),1993,7790,9,Mixed
Contracts - livestock ($),1993,810,39,Mixed
Cotton receipts ($),1993,820,80,Mixed
Crop and pasture chemicals ($),1993,15810,6,Mixed
Dairy cattle at June 30 (no.),1993,1,82,Mixed
Depreciation ($),1993,41310,4,Mixed
Electricity ($),1993,3260,7,Mixed
Equity ratio at 30 June (%),1993,83,2,Mixed
Ewes at 30 June (no.),1993,1097,5,Mixed
Family share of farm income ($),1993,25590,19,Mixed
Farm business debt at 30 June ($),1993,335100,9,Mixed
Farm business equity June 30 ($),1993,1595250,4,Mixed
Farm business profit ($),1993,-25900,27,Mixed
Farm cash income ($),1993,84290,8,Mixed
Farm liquid assets at 30 June ($),1993,104520,20,Mixed
Fertiliser ($),1993,22120,5,Mixed
Field peas area sown (ha),1993,4,27,Mixed
Field peas produced (t),1993,5,28,Mixed
Field peas receipts ($),1993,1680,28,Mixed
Fodder ($),1993,6130,15,Mixed
Fuel oil and grease ($),1993,25740,4,Mixed
Grain legumes area sown (ha),1993,27,12,Mixed
Grain legumes produced (t),1993,30,12,Mixed
Grain legumes receipts ($),1993,9830,13,Mixed
Handling and marketing ($),1993,25120,5,Mixed
Hours worked on farm - total (hrsperwk),1993,,,Mixed
Hours worked on farm by owner manager (hrsperwk),1993,,,Mixed
Hours worked on farm by spouse (hrsperwk),1993,,,Mixed
Imputed labor cost ($),1993,73490,3,Mixed
Insurance ($),1993,6810,5,Mixed
Interest paid ($),1993,29650,8,Mixed
Lambs at 30 June (no.),1993,498,7,Mixed
Land rent ($),1993,2270,22,Mixed
Leasing charges ($),1993,4110,20,Mixed
Livestock materials ($),1993,6170,6,Mixed
Livestock transfers - inwards ($),1993,730,61,Mixed
Livestock transfers - outward ($),1993,100,43,Mixed
Lupins area sown (ha),1993,15,16,Mixed
Lupins produced (t),1993,19,16,Mixed
Lupins receipts ($),1993,5590,18,Mixed
Net capital additions ($),1993,27360,27,Mixed
Oats area sown (ha),1993,46,9,Mixed
Oats produced (t),1993,73,12,Mixed
Oats receipts ($),1993,8810,15,Mixed
Off farm contracts ($),1993,4610,21,Mixed
Off farm sharefarming ($),1993,4610,24,Mixed
Off-farm work for owner manager (hrsperwk),1993,2,37,Mixed
Off-farm work for spouse (hrsperwk),1993,5,18,Mixed
Oilseeds area sown (ha),1993,11,25,Mixed
Oilseeds produced (t),1993,10,21,Mixed
Oilseeds receipts ($),1993,6380,20,Mixed
Other administration expenses ($),1993,5560,7,Mixed
Other farm income ($),1993,20870,13,Mixed
Other livestock purchased ($),1993,940,96,Mixed
Other livestock receipts ($),1993,500,35,Mixed
Other materials ($),1993,2770,12,Mixed
Other services ($),1993,8240,6,Mixed
Payments to sharefarmers ($),1993,6180,24,Mixed
Population,1993,18430,,Mixed
Produce purchased for resale ($),1993,1160,90,Mixed
Profit at full equity ($),1993,7870,84,Mixed
Profit at full equity including capital appreciation ($),1993,27200,42,Mixed
Rams at 30 June (no.),1993,28,12,Mixed
Rate of return ex. capital appreciation (%),1993,0.4,83,Mixed
Rate of return inc. capital appreciation (%),1993,1.4,41,Mixed
Repairs and maintenance ($),1993,28320,4,Mixed
Rice area sown (ha),1993,2,27,Mixed
Sample Contributing,1993,341,,Mixed
Seed ($),1993,4540,9,Mixed
Shearing crutching ($),1993,13090,6,Mixed
Sheep and lambs shorn (no.),1993,2408,6,Mixed
Sheep flock at 30 June (no.),1993,2247,6,Mixed
Sheep purchased ($),1993,9910,9,Mixed
Sheep purchased (no.),1993,246,14,Mixed
Sheep receipts ($),1993,34250,8,Mixed
Sheep sold (no.),1993,836,6,Mixed
Shire and PPB rates ($),1993,7940,4,Mixed
Sorghum area sown (ha),1993,12,18,Mixed
Sorghum produced (t),1993,16,33,Mixed
Sorghum receipts ($),1993,6900,22,Mixed
Steers and other beef cattle at 30 June (no.),1993,22,17,Mixed
Stores and rations ($),1993,310,45,Mixed
Telephone ($),1993,2800,5,Mixed
Total area cropped (ha),1993,357,4,Mixed
Total area irrigated (ha),1993,35,35,Mixed
Total cash costs ($),1993,295140,4,Mixed
Total cash receipts ($),1993,379420,4,Mixed
Total closing capital ($),1993,1979820,4,Mixed
Total crop gross receipts ($),1993,184690,5,Mixed
Total family income ($),1993,53380,10,Mixed
Total freight ($),1993,15730,7,Mixed
Total labor used (weeks),1993,105,3,Mixed
Total non farm income ($),1993,23480,9,Mixed
Total off farm wages ($),1993,10730,17,Mixed
Total wool sold (kg),1993,10979,6,Mixed
Value of land and fixed improvements ($),1993,1633670,4,Mixed
Vet fees ($),1993,220,20,Mixed
Wages for hired labor ($),1993,8880,12,Mixed
Water charges ($),1993,2380,17,Mixed
Wethers at 30 June (no.),1993,624,10,Mixed
Wheat area sown (ha),1993,160,7,Mixed
Wheat produced (t),1993,306,7,Mixed
Wheat receipts ($),1993,96440,8,Mixed
Wheat sold (t),1993,294,7,Mixed
Wool cut per head (kg),1993,4.9,2,Mixed
Wool produced (kg),1993,11715,6,Mixed
Wool receipts ($),1993,74230,6,Mixed
AI stud fees and herd testing ($),1993,220,49,Sheep
Accounting services ($),1993,2450,10,Sheep
Advisory services ($),1993,280,24,Sheep
Age of owner manager (yrs),1993,51,2,Sheep
Age of spouse (yrs),1993,48,2,Sheep
Agistment ($),1993,700,32,Sheep
Area operated at 30 June (ha),1993,6337,16,Sheep
Barley area sown (ha),1993,5,23,Sheep
Barley produced (t),1993,8,21,Sheep
Barley receipts ($),1993,2220,26,Sheep
Beef bulls at 30 June (no.),1993,2,31,Sheep
Beef calves at 30 June (no.),1993,14,25,Sheep
Beef cattle purchased ($),1993,3840,36,Sheep
Beef cattle purchased (no.),1993,6,37,Sheep
Beef cattle receipts ($),1993,18750,19,Sheep
Beef cattle sold (no.),1993,22,21,Sheep
Beef cattle transferred off farm (no.),1993,0,83,Sheep
Beef cattle transferred onto farm (no.),1993,1,44,Sheep
Beef cows at 30 June (no.),1993,27,24,Sheep
Beef heifers at 30 June (no.),1993,6,19,Sheep
Beef herd at 30 June (no.),1993,56,21,Sheep
Branding rate (%),1993,82.3,2,Sheep
Buildup in trading stocks ($),1993,1220,185,Sheep
Canola area sown (ha),1993,0,135,Sheep
Canola produced (t),1993,0,107,Sheep
Canola receipts ($),1993,40,63,Sheep
Capital appreciation ($),1993,-28010,108,Sheep
Capital at 1 July ($),1993,1840530,10,Sheep
Change in farm debt ($),1993,15520,73,Sheep
Contracts - cropping ($),1993,2260,14,Sheep
Contracts - livestock ($),1993,740,20,Sheep
Cotton receipts ($),1993,0,,Sheep
Crop and pasture chemicals ($),1993,2180,21,Sheep
Dairy cattle at June 30 (no.),1993,0,,Sheep
Depreciation ($),1993,26200,6,Sheep
Electricity ($),1993,2700,7,Sheep
Equity ratio at 30 June (%),1993,84,2,Sheep
Ewes at 30 June (no.),1993,1575,6,Sheep
Family share of farm income ($),1993,-17330,24,Sheep
Farm business debt at 30 June ($),1993,285070,11,Sheep
Farm business equity June 30 ($),1993,1473620,12,Sheep
Farm business profit ($),1993,-70630,7,Sheep
Farm cash income ($),1993,14380,36,Sheep
Farm liquid assets at 30 June ($),1993,78150,20,Sheep
Fertiliser ($),1993,6880,7,Sheep
Field peas area sown (ha),1993,0,76,Sheep
Field peas produced (t),1993,0,98,Sheep
Field peas receipts ($),1993,70,98,Sheep
Fodder ($),1993,5210,18,Sheep
Fuel oil and grease ($),1993,12750,6,Sheep
Grain legumes area sown (ha),1993,3,21,Sheep
Grain legumes produced (t),1993,3,22,Sheep
Grain legumes receipts ($),1993,700,28,Sheep
Handling and marketing ($),1993,19550,8,Sheep
Hours worked on farm - total (hrsperwk),1993,,,Sheep
Hours worked on farm by owner manager (hrsperwk),1993,,,Sheep
Hours worked on farm by spouse (hrsperwk),1993,,,Sheep
Imputed labor cost ($),1993,60020,3,Sheep
Insurance ($),1993,5190,8,Sheep
Interest paid ($),1993,26860,11,Sheep
Lambs at 30 June (no.),1993,659,8,Sheep
Land rent ($),1993,3410,21,Sheep
Leasing charges ($),1993,1770,25,Sheep
Livestock materials ($),1993,7390,14,Sheep
Livestock transfers - inwards ($),1993,530,39,Sheep
Livestock transfers - outward ($),1993,360,43,Sheep
Lupins area sown (ha),1993,2,23,Sheep
Lupins produced (t),1993,3,23,Sheep
Lupins receipts ($),1993,590,30,Sheep
Net capital additions ($),1993,10050,127,Sheep
Oats area sown (ha),1993,15,11,Sheep
Oats produced (t),1993,22,14,Sheep
Oats receipts ($),1993,2080,22,Sheep
Off farm contracts ($),1993,6590,33,Sheep
Off farm sharefarming ($),1993,580,53,Sheep
Off-farm work for owner manager (hrsperwk),1993,4,28,Sheep
Off-farm work for spouse (hrsperwk),1993,5,20,Sheep
Oilseeds area sown (ha),1993,1,40,Sheep
Oilseeds produced (t),1993,0,37,Sheep
Oilseeds receipts ($),1993,470,40,Sheep
Other administration expenses ($),1993,4250,8,Sheep
Other farm income ($),1993,11310,10,Sheep
Other livestock purchased ($),1993,440,37,Sheep
Other livestock receipts ($),1993,3180,29,Sheep
Other materials ($),1993,2660,8,Sheep
Other services ($),1993,7210,9,Sheep
Payments to sharefarmers ($),1993,1400,43,Sheep
Population,1993,16990,,Sheep
Produce purchased for resale ($),1993,140,133,Sheep
Profit at full equity ($),1993,-39570,12,Sheep
Profit at full equity including capital appreciation ($),1993,-67580,45,Sheep
Rams at 30 June (no.),1993,38,11,Sheep
Rate of return ex. capital appreciation (%),1993,-2.2,17,Sheep
Rate of return inc. capital appreciation (%),1993,-3.8,41,Sheep
Repairs and maintenance ($),1993,17130,7,Sheep
Rice area sown (ha),1993,0,354,Sheep
Sample Contributing,1993,291,,Sheep
Seed ($),1993,1010,12,Sheep
Shearing crutching ($),1993,19820,11,Sheep
Sheep and lambs shorn (no.),1993,3779,7,Sheep
Sheep flock at 30 June (no.),1993,3419,8,Sheep
Sheep purchased ($),1993,9340,13,Sheep
Sheep purchased (no.),1993,248,17,Sheep
Sheep receipts ($),1993,30920,8,Sheep
Sheep sold (no.),1993,943,7,Sheep
Shire and PPB rates ($),1993,7170,12,Sheep
Sorghum area sown (ha),1993,0,49,Sheep
Sorghum produced (t),1993,0,117,Sheep
Sorghum receipts ($),1993,100,117,Sheep
Steers and other beef cattle at 30 June (no.),1993,7,29,Sheep
Stores and rations ($),1993,690,21,Sheep
Telephone ($),1993,2370,6,Sheep
Total area cropped (ha),1993,51,10,Sheep
Total area irrigated (ha),1993,15,26,Sheep
Total cash costs ($),1993,192800,7,Sheep
Total cash receipts ($),1993,207180,8,Sheep
Total closing capital ($),1993,1797800,9,Sheep
Total crop gross receipts ($),1993,16300,15,Sheep
Total family income ($),1993,17460,29,Sheep
Total freight ($),1993,5260,11,Sheep
Total labor used (weeks),1993,85,4,Sheep
Total non farm income ($),1993,34610,11,Sheep
Total off farm wages ($),1993,15760,16,Sheep
Total wool sold (kg),1993,17013,9,Sheep
Value of land and fixed improvements ($),1993,1567310,10,Sheep
Vet fees ($),1993,310,21,Sheep
Wages for hired labor ($),1993,7540,32,Sheep
Water charges ($),1993,1150,29,Sheep
Wethers at 30 June (no.),1993,1147,12,Sheep
Wheat area sown (ha),1993,9,33,Sheep
Wheat produced (t),1993,17,31,Sheep
Wheat receipts ($),1993,5180,31,Sheep
Wheat sold (t),1993,16,34,Sheep
Wool cut per head (kg),1993,4.6,2,Sheep
Wool produced (kg),1993,17409,8,Sheep
Wool receipts ($),1993,119180,9,Sheep
AI stud fees and herd testing ($),1993,740,41,Sheep-Beef
Accounting services ($),1993,2730,7,Sheep-Beef
Advisory services ($),1993,690,48,Sheep-Beef
Age of owner manager (yrs),1993,53,2,Sheep-Beef
Age of spouse (yrs),1993,50,3,Sheep-Beef
Agistment ($),1993,1870,27,Sheep-Beef
Area operated at 30 June (ha),1993,3951,9,Sheep-Beef
Barley area sown (ha),1993,5,28,Sheep-Beef
Barley produced (t),1993,6,38,Sheep-Beef
Barley receipts ($),1993,1880,45,Sheep-Beef
Beef bulls at 30 June (no.),1993,7,9,Sheep-Beef
Beef calves at 30 June (no.),1993,83,8,Sheep-Beef
Beef cattle purchased ($),1993,25250,22,Sheep-Beef
Beef cattle purchased (no.),1993,30,20,Sheep-Beef
Beef cattle receipts ($),1993,105520,7,Sheep-Beef
Beef cattle sold (no.),1993,116,6,Sheep-Beef
Beef cattle transferred off farm (no.),1993,0,69,Sheep-Beef
Beef cattle transferred onto farm (no.),1993,1,64,Sheep-Beef
Beef cows at 30 June (no.),1993,123,6,Sheep-Beef
Beef heifers at 30 June (no.),1993,29,7,Sheep-Beef
Beef herd at 30 June (no.),1993,287,5,Sheep-Beef
Branding rate (%),1993,84.5,1,Sheep-Beef
Buildup in trading stocks ($),1993,6530,65,Sheep-Beef
Canola area sown (ha),1993,1,90,Sheep-Beef
Canola produced (t),1993,0,90,Sheep-Beef
Canola receipts ($),1993,280,90,Sheep-Beef
Capital appreciation ($),1993,-30020,45,Sheep-Beef
Capital at 1 July ($),1993,2079110,5,Sheep-Beef
Change in farm debt ($),1993,12930,62,Sheep-Beef
Contracts - cropping ($),1993,2440,16,Sheep-Beef
Contracts - livestock ($),1993,480,20,Sheep-Beef
Cotton receipts ($),1993,0,,Sheep-Beef
Crop and pasture chemicals ($),1993,1810,13,Sheep-Beef
Dairy cattle at June 30 (no.),1993,0,106,Sheep-Beef
Depreciation ($),1993,25440,7,Sheep-Beef
Electricity ($),1993,2630,8,Sheep-Beef
Equity ratio at 30 June (%),1993,87,2,Sheep-Beef
Ewes at 30 June (no.),1993,1104,5,Sheep-Beef
Family share of farm income ($),1993,-4430,121,Sheep-Beef
Farm business debt at 30 June ($),1993,263680,10,Sheep-Beef
Farm business equity June 30 ($),1993,1774800,6,Sheep-Beef
Farm business profit ($),1993,-55900,11,Sheep-Beef
Farm cash income ($),1993,25050,24,Sheep-Beef
Farm liquid assets at 30 June ($),1993,68610,18,Sheep-Beef
Fertiliser ($),1993,9370,10,Sheep-Beef
Field peas area sown (ha),1993,1,90,Sheep-Beef
Field peas produced (t),1993,1,83,Sheep-Beef
Field peas receipts ($),1993,460,89,Sheep-Beef
Fodder ($),1993,7910,12,Sheep-Beef
